Subject-Type	Subject-Type Count	Subject-Type Distinct Count	Property	Object-Type	Object-Type Count	Object-Type tDistinct_count
http://mo-ld.org/resource/mousemine_SequenceFeature	3862918	118984	mine_voc:\nhasHomologue	http://mo-ld.org/resource/mousemine_Homologue	3862918	3862918
http://mo-ld.org/resource/mousemine_Homologue	3770137	3770137	mine_voc:\nhasOrthologueEvidence	mold_res:\nmousemine_OrthologueEvidence	3770137	2
http://mo-ld.org/resource/mousemine_BioEntity	3304420	94348	mine_voc:\nhasHomologue	http://mo-ld.org/resource/mousemine_Homologue	3304420	3304420
http://mo-ld.org/resource/mousemine_Homologue	3270271	3270271	mine_voc:\nhasCrossReference	http://mo-ld.org/resource/mousemine_CrossReference	3270271	3270271
mold_res:\nmousemine_OntologyRelation	2679822	1339911	mine_voc:\nhasOntologyTerm	mold_res:\nmousemine_OntologyTerm	2679822	63185
http://mo-ld.org/resource/mousemine_OntologyTerm	2679822	63185	mine_voc:\nhasOntologyRelation	http://mo-ld.org/resource/mousemine_OntologyRelation	2679822	1339911
mold_res:\nmousemine_Publication	2504196	184583	mine_voc:\nhasBioEntity	mold_res:\nmousemine_BioEntity	2504196	817280
http://mo-ld.org/resource/mousemine_BioEntity	2504196	817280	mine_voc:\nhasPublication	http://mo-ld.org/resource/mousemine_Publication	2504196	184583
mold_res:\nmousemine_OntologyRelation	2267438	1133719	mine_voc:\nhasOntologyTerm	mold_res:\nmousemine_GOTerm	2267438	42338
http://mo-ld.org/resource/mousemine_GOTerm	2267438	42338	mine_voc:\nhasOntologyRelation	http://mo-ld.org/resource/mousemine_OntologyRelation	2267438	1133719
mold_res:\nmousemine_Synonym	2201214	2201214	mine_voc:\nhasValue	mine_type:\nValue	2201214	2051255
mold_res:\nmousemine_Synonym	1894110	1894110	mine_voc:\nhasBioEntity	mold_res:\nmousemine_BioEntity	1894110	817213
http://mo-ld.org/resource/mousemine_BioEntity	1894110	817213	mine_voc:\nhasSynonym	http://mo-ld.org/resource/mousemine_Synonym	1894110	1894110
http://mo-ld.org/resource/mousemine_CrossReference	1722705	1722705	mine_voc:\nhasBioEntity	mold_res:\nmousemine_SequenceFeature	1722705	138309
http://mo-ld.org/resource/mousemine_SequenceFeature	1722705	138309	mine_voc:\nhasCrossReference	http://mo-ld.org/resource/mousemine_CrossReference	1722705	1722705
mold_res:\nmousemine_OntologyAnnotationEvidence	1703335	1130578	mine_voc:\nhasOntologyAnnotation	mold_res:\nmousemine_OntologyAnnotation	1703335	1067990
http://mo-ld.org/resource/mousemine_BioEntity	1623500	15913	mine_voc:\nhasGXDExpression	mold_res:\nmousemine_GXDExpression	1623500	1505222
mold_res:\nmousemine_Synonym	1604585	1604585	mine_voc:\nhasBioEntity	mold_res:\nmousemine_SequenceCollection	1604585	743819
http://mo-ld.org/resource/mousemine_SequenceCollection	1604585	743819	mine_voc:\nhasSynonym	http://mo-ld.org/resource/mousemine_Synonym	1604585	1604585
http://mo-ld.org/resource/mousemine_Synonym	1600282	1600282	mine_voc:\nhasBioEntity	mold_res:\nmousemine_Allele	1600282	742690
http://mo-ld.org/resource/mousemine_Allele	1600282	742690	mine_voc:\nhasSynonym	http://mo-ld.org/resource/mousemine_Synonym	1600282	1600282
http://mo-ld.org/resource/mousemine_CrossReference	1599523	1599523	mine_voc:\nhasBioEntity	mold_res:\nmousemine_Gene	1599523	110648
http://mo-ld.org/resource/mousemine_Gene	1599523	110648	mine_voc:\nhasCrossReference	http://mo-ld.org/resource/mousemine_CrossReference	1599523	1599523
mold_res:\nmousemine_GXDExpression	1509463	1509463	mine_voc:\nhasStage	mine_type:\nStage	1509463	28
http://mo-ld.org/resource/mousemine_GXDExpression	1509463	1509463	mine_voc:\nhasGenotype	mold_res:\nmousemine_Genotype	1509463	4949
http://mo-ld.org/resource/mousemine_GXDExpression	1509463	1509463	mine_voc:\nhasSequenceFeature	http://mo-ld.org/resource/mousemine_SequenceFeature	1509463	14072
http://mo-ld.org/resource/mousemine_GXDExpression	1509463	1509463	mine_voc:\nhasAge	mine_type:\nAge	1509463	533
http://mo-ld.org/resource/mousemine_GXDExpression	1509463	1509463	mine_voc:\nhasAssayId	mine_type:\nAssayId	1509463	72824
http://mo-ld.org/resource/mousemine_GXDExpression	1509463	1509463	mine_voc:\nhasSpecimenNum	mine_type:\nSpecimenNum	1509463	156
http://mo-ld.org/resource/mousemine_GXDExpression	1509463	1509463	mine_voc:\nhasStrength	mine_type:\nStrength	1509463	9
http://mo-ld.org/resource/mousemine_GXDExpression	1509463	1509463	mine_voc:\nhasEMAPATerm	mold_res:\nmousemine_EMAPATerm	1509463	3561
http://mo-ld.org/resource/mousemine_GXDExpression	1509463	1509463	mine_voc:\nhasEMAPATerm	mold_res:\nmousemine_AnatomyTerm	1509463	3561
http://mo-ld.org/resource/mousemine_GXDExpression	1509463	1509463	mine_voc:\nhasEMAPATerm	http://mo-ld.org/resource/mousemine_OntologyTerm	1509463	3561
http://mo-ld.org/resource/mousemine_Genotype	1509463	4949	mine_voc:\nhasGXDExpression	http://mo-ld.org/resource/mousemine_GXDExpression	1509463	1509463
