URI	Count	Distinct_count
http://mo-ld.org/mine_type:Relationship	19	19
http://mo-ld.org/mine_type:RelationshipTerm	19	19
http://mo-ld.org/resource/mousemine_AlleleAttribute	19	19
http://mo-ld.org/mine_type:Type	18	18
http://mo-ld.org/mine_type:ProjectCollection	18	18
http://mo-ld.org/resource/mousemine_AlleleMolecularMutation	18	18
http://mo-ld.org/mine_type:InducedWith	14	14
http://mo-ld.org/mine_type:Pattern	14	14
http://mo-ld.org/resource/mousemine_PolymorphicPseudogene	13	13
http://mo-ld.org/mine_type:AlleleType	12	12
http://mo-ld.org/mine_type:Role1	11	11
http://mo-ld.org/mine_type:Role2	11	11
http://mo-ld.org/mine_type:DerivationType	11	11
http://mo-ld.org/mine_type:PairState	9	9
http://mo-ld.org/mine_type:Strength	9	9
http://mo-ld.org/mine_type:AssayType	8	8
http://mo-ld.org/mine_type:StrainType	8	8
http://mo-ld.org/mine_type:CommonName	7	7
http://mo-ld.org/mine_type:Genus	7	7
http://mo-ld.org/mine_type:ShortName	7	7
http://mo-ld.org/mine_type:Species	7	7
http://mo-ld.org/mine_type:TaxonId	7	7
http://mo-ld.org/mine_type:Qualifier	7	7
http://mo-ld.org/resource/mousemine_Organism	7	7
http://mo-ld.org/mine_type:EvidenceCode	6	6
http://mo-ld.org/mine_type:InheritanceMode	6	6
http://mo-ld.org/resource/mousemine_Ontology	6	6
http://mo-ld.org/mine_type:Version	5	5
http://mo-ld.org/mine_type:EndStatus	5	5
http://mo-ld.org/mine_type:StartStatus	5	5
http://mo-ld.org/mine_type:VectorType	5	5
http://mo-ld.org/mine_type:Zygosity	5	5
http://mo-ld.org/mine_type:Strand	4	4
http://mo-ld.org/mine_type:GlTransmission	4	4
http://mo-ld.org/mine_type:Algorithm	4	4
http://mo-ld.org/mine_type:DataSource	4	4
http://mo-ld.org/mine_type:Sex	4	4
http://mo-ld.org/mine_type:ExistsAs	3	3
http://mo-ld.org/mine_type:AnnotationExtension	2	2
http://mo-ld.org/mine_type:Direct	2	2
http://mo-ld.org/mine_type:Redundant	2	2
http://mo-ld.org/mine_type:CellLineType	2	2
http://mo-ld.org/mine_type:IsRecombinase	2	2
http://mo-ld.org/mine_type:IsWildType	2	2
http://mo-ld.org/mine_type:Validation	2	2
http://mo-ld.org/mine_type:Orientation	2	2
http://mo-ld.org/mine_type:IsConditional	2	2
http://mo-ld.org/mine_type:Detected	2	2
http://mo-ld.org/resource/mousemine_OrthologueEvidence	2	2
http://mo-ld.org/mine_type:Abbreviation	1	1
http://mo-ld.org/mine_type:Obsolete	1	1
http://mo-ld.org/resource/mousemine_OrthologueEvidenceCode	1	1
