Subject-Type	Subject-Type Count	Subject-Type Distinct Count	Property	Object-Type	Object-Type Count	Object-Type tDistinct_count
http://mo-ld.org/resource/humanmine_SequenceFeature	2797554	2797554	mine_voc:\nhasChromosome	http://mo-ld.org/resource/humanmine_Chromosome	2797554	24
http://mo-ld.org/resource/humanmine_BioEntity	2797554	2797554	mine_voc:\nhasChromosome	http://mo-ld.org/resource/humanmine_Region	2797554	24
http://mo-ld.org/resource/humanmine_SequenceFeature	2797554	2797554	mine_voc:\nhasChromosome	http://mo-ld.org/resource/humanmine_Region	2797554	24
http://mo-ld.org/resource/humanmine_BioEntity	2797554	2797554	mine_voc:\nhasChromosome	http://mo-ld.org/resource/humanmine_SequenceFeature	2797554	24
http://mo-ld.org/resource/humanmine_SequenceFeature	2797554	2797554	mine_voc:\nhasChromosome	http://mo-ld.org/resource/humanmine_SequenceFeature	2797554	24
http://mo-ld.org/resource/humanmine_BioEntity	2786757	2212306	mine_voc:\nhasDataSet	mold_res:\nhumanmine_DataSet	2786757	51
http://mo-ld.org/resource/humanmine_DataSet	2786757	51	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/humanmine_BioEntity	2786757	2212306
mold_res:\nhumanmine_OntologyRelation	2666056	1333028	mine_voc:\nhasOntologyTerm	mold_res:\nhumanmine_OntologyTerm	2666056	66320
http://mo-ld.org/resource/humanmine_OntologyTerm	2666056	66320	mine_voc:\nhasOntologyRelation	http://mo-ld.org/resource/humanmine_OntologyRelation	2666056	1333028
http://mo-ld.org/resource/humanmine_SequenceFeature	2383026	1949656	mine_voc:\nhasDataSet	http://mo-ld.org/resource/humanmine_DataSet	2383026	37
http://mo-ld.org/resource/humanmine_DataSet	2383026	37	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/humanmine_SequenceFeature	2383026	1949656
http://mo-ld.org/resource/humanmine_Region	2374215	1940845	mine_voc:\nhasDataSet	http://mo-ld.org/resource/humanmine_DataSet	2374215	37
http://mo-ld.org/resource/humanmine_DataSet	2374215	37	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/humanmine_Region	2374215	1940845
mold_res:\nhumanmine_OntologyRelation	2228424	1114212	mine_voc:\nhasOntologyTerm	mold_res:\nhumanmine_GOTerm	2228424	42045
http://mo-ld.org/resource/humanmine_GOTerm	2228424	42045	mine_voc:\nhasOntologyRelation	http://mo-ld.org/resource/humanmine_OntologyRelation	2228424	1114212
http://mo-ld.org/resource/humanmine_Publication	2104080	691161	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/humanmine_Region	2104080	82173
